ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,call_delta,front_oi,back_oi,ba_pct
MCD,15-64,280.0,275.7,2026-05-29,15,22.0,2026-07-17,64,18.4,0.2853,4.22,0.387,132,811,0.0747
KO,15-64,80.0,80.26,2026-05-29,15,20.5,2026-07-17,64,17.3,0.2668,1.23,0.555,836,8051,0.0688
DIS,15-64,110.0,104.9,2026-05-29,15,26.7,2026-07-17,64,23.1,0.2174,1.7,0.206,284,4793,0.085
BA,15-64,250.0,240.6,2026-05-29,15,39.4,2026-07-17,64,34.7,0.1875,6.68,0.337,2243,2512,0.0487
ANET,15-64,150.0,140.69,2026-05-29,15,58.7,2026-07-17,64,52.0,0.179,5.68,0.321,353,880,0.0749
COIN,15-64,220.0,201.8,2026-05-29,15,80.5,2026-07-17,64,71.5,0.1746,11.18,0.331,634,1758,0.047
AG,22-64,26.0,23.98,2026-06-05,22,91.1,2026-07-17,64,82.6,0.1712,1.22,0.406,5918,3753,0.0492
FCX,15-64,70.0,67.16,2026-05-29,15,59.0,2026-07-17,64,52.7,0.1651,2.88,0.392,3971,23416,0.0539
V,15-64,330.0,320.31,2026-05-29,15,25.5,2026-07-17,64,23.1,0.1421,6.14,0.302,389,966,0.0806
OXY,15-64,60.0,56.18,2026-05-29,15,39.8,2026-07-17,64,36.1,0.1398,1.5,0.225,885,1611,0.06
INTC,15-64,130.0,120.29,2026-05-29,15,95.8,2026-07-17,64,87.1,0.1384,8.48,0.384,5352,4657,0.0442
SMCI,15-64,35.0,32.0,2026-05-29,15,83.9,2026-07-17,64,76.3,0.1364,1.94,0.333,2201,41363,0.067
AMD,15-64,480.0,445.5,2026-05-29,15,75.0,2026-07-17,64,68.3,0.1357,24.4,0.343,651,1138,0.041
DVN,22-64,50.0,46.9,2026-06-05,22,39.2,2026-07-17,64,36.2,0.1344,1.03,0.277,249,67723,0.0634
PLTR,22-64,140.0,130.05,2026-06-05,22,54.4,2026-07-17,64,50.3,0.1318,4.05,0.32,925,6347,0.0494
GLW,15-64,220.0,206.51,2026-05-29,15,86.2,2026-07-17,64,78.7,0.1307,13.3,0.395,379,945,0.094
EOG,15-64,140.0,134.93,2026-05-29,15,34.0,2026-07-17,64,31.1,0.1267,3.48,0.317,272,283,0.0935
GE,15-64,310.0,294.71,2026-05-29,15,42.3,2026-07-17,64,38.8,0.1239,9.2,0.299,188,638,0.0707
TSLA,22-43,475.0,445.27,2026-06-05,22,51.8,2026-06-26,43,49.1,0.1233,7.4,0.335,20457,321,0.0338
BX,15-99,125.0,119.62,2026-05-29,15,41.7,2026-08-21,99,37.9,0.1231,5.71,0.323,411,436,0.063
