ticker,combo,strike,put_strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,put_cost,dbl_cost,call_delta,put_delta,front_oi,back_oi
LULU,50-79,160.0,140.0,146.94,2026-06-18,50,50.7,2026-07-17,79,49.4,0.0809,2.07,1.67,3.75,0.371,0.362,581,320
ES,16-79,70.0,65.0,68.72,2026-05-15,16,25.1,2026-07-17,79,23.7,0.0759,1.37,1.3,2.68,0.385,0.205,3177,231
HAS,50-79,100.0,90.0,94.69,2026-06-18,50,39.1,2026-07-17,79,38.1,0.0743,1.0,,,0.395,0.329,1348,115
CCL,16-79,28.5,25.5,26.77,2026-05-15,16,55.9,2026-07-17,79,52.9,0.0734,1.52,,,0.322,0.324,447,3366
HAL,16-50,41.5,39.0,40.13,2026-05-15,16,39.7,2026-06-18,50,37.9,0.0719,1.03,0.81,1.84,0.366,0.352,198,762
CBRE,16-50,150.0,140.0,146.22,2026-05-15,16,35.0,2026-06-18,50,33.5,0.0714,2.65,2.1,4.75,0.387,0.279,5598,232
STLD,16-50,230.0,220.0,225.04,2026-05-15,16,41.6,2026-06-18,50,39.9,0.0667,5.4,,,0.426,0.374,2756,203
PLD,16-50,145.0,135.0,140.02,2026-05-15,16,26.5,2026-06-18,50,25.4,0.0645,2.12,1.6,3.72,0.284,0.236,997,2996
IBM,16-79,235.0,220.0,228.05,2026-05-15,16,33.8,2026-07-17,79,32.4,0.0592,7.35,5.78,13.12,0.358,0.305,459,133
GILD,50-114,135.0,125.0,127.75,2026-06-18,50,32.4,2026-08-21,114,31.4,0.054,2.88,,,0.361,0.385,528,124
MU,50-114,570.0,490.0,524.56,2026-06-18,50,77.9,2026-08-21,114,75.7,0.0528,26.18,,,0.45,0.35,887,348
COF,16-50,200.0,187.5,194.11,2026-05-15,16,34.4,2026-06-18,50,33.3,0.0507,3.5,,,0.361,0.34,4379,2624
LEN,50-114,100.0,90.0,93.25,2026-06-18,50,43.6,2026-08-21,114,42.6,0.0453,2.8,2.4,5.2,0.375,0.371,508,383
NEM,50-79,125.0,110.0,116.08,2026-06-18,50,48.3,2026-07-17,79,47.7,0.0379,2.27,1.7,3.97,0.384,0.324,3214,1645
PKG,16-50,220.0,210.0,212.54,2026-05-15,16,34.2,2026-06-18,50,33.3,0.0364,3.75,,,0.336,0.412,208,506
C,16-50,133.0,125.0,129.14,2026-05-15,16,31.3,2026-06-18,50,30.7,0.0292,1.51,1.9,3.41,0.348,0.344,159,3987
ED,16-114,110.0,105.0,108.83,2026-05-15,16,20.3,2026-08-21,114,19.8,0.0289,2.68,,,0.425,0.259,1474,220
FCX,50-79,65.0,60.0,60.57,2026-06-18,50,47.9,2026-07-17,79,47.5,0.0271,1.09,0.97,2.07,0.39,0.431,27102,2703
BA,16-50,240.0,225.0,231.33,2026-05-15,16,34.9,2026-06-18,50,34.3,0.0251,4.55,3.88,8.43,0.329,0.338,9929,4994
PG,16-50,152.5,146.0,148.4,2026-05-15,16,22.4,2026-06-18,50,22.1,0.0216,2.79,,,0.301,0.365,855,5459
CME,16-50,290.0,277.5,281.94,2026-05-15,16,26.6,2026-06-18,50,26.3,0.0158,4.2,,,0.328,0.352,375,531
BX,16-50,125.0,115.0,120.37,2026-05-15,16,40.1,2026-06-18,50,39.8,0.013,2.62,2.42,5.04,0.349,0.304,1133,1812
RJF,16-114,160.0,150.0,154.3,2026-05-15,16,26.8,2026-08-21,114,26.7,0.0052,5.43,,,0.279,0.332,221,210
FDX,16-50,400.0,377.5,387.89,2026-05-15,16,31.2,2026-06-18,50,31.1,0.0043,7.33,,,0.34,0.348,345,1337
GPC,50-114,115.0,105.0,106.56,2026-06-18,50,31.0,2026-08-21,114,31.0,0.0023,2.55,,,0.288,0.406,374,141
