ticker,combo,strike,stock_px,front_exp,front_dte,front_iv,back_exp,back_dte,back_iv,ff,call_cost,call_delta,front_oi,back_oi,ba_pct
MCD,15-64,280.0,275.7,2026-05-29,15,22.0,2026-07-17,64,18.4,0.2853,4.22,0.387,132,811,0.0747
KO,15-64,80.0,80.26,2026-05-29,15,20.5,2026-07-17,64,17.3,0.2668,1.23,0.555,836,8051,0.0688
DIS,15-64,110.0,104.9,2026-05-29,15,26.7,2026-07-17,64,23.1,0.2174,1.7,0.206,284,4793,0.085
BA,15-64,250.0,240.6,2026-05-29,15,39.4,2026-07-17,64,34.7,0.1875,6.68,0.337,2243,2512,0.0487
ANET,15-64,150.0,140.69,2026-05-29,15,58.7,2026-07-17,64,52.0,0.179,5.68,0.321,353,880,0.0749
COIN,15-64,220.0,201.8,2026-05-29,15,80.5,2026-07-17,64,71.5,0.1746,11.18,0.331,634,1758,0.047
AG,22-64,26.0,23.98,2026-06-05,22,91.1,2026-07-17,64,82.6,0.1712,1.22,0.406,5918,3753,0.0492
FCX,15-64,70.0,67.16,2026-05-29,15,59.0,2026-07-17,64,52.7,0.1651,2.88,0.392,3971,23416,0.0539
V,15-64,330.0,320.31,2026-05-29,15,25.5,2026-07-17,64,23.1,0.1421,6.14,0.302,389,966,0.0806
OXY,15-64,60.0,56.18,2026-05-29,15,39.8,2026-07-17,64,36.1,0.1398,1.5,0.225,885,1611,0.06
INTC,15-64,130.0,120.29,2026-05-29,15,95.8,2026-07-17,64,87.1,0.1384,8.48,0.384,5352,4657,0.0442
SMCI,15-64,35.0,32.0,2026-05-29,15,83.9,2026-07-17,64,76.3,0.1364,1.94,0.333,2201,41363,0.067
AMD,15-64,480.0,445.5,2026-05-29,15,75.0,2026-07-17,64,68.3,0.1357,24.4,0.343,651,1138,0.041
DVN,22-64,50.0,46.9,2026-06-05,22,39.2,2026-07-17,64,36.2,0.1344,1.03,0.277,249,67723,0.0634
PLTR,22-64,140.0,130.05,2026-06-05,22,54.4,2026-07-17,64,50.3,0.1318,4.05,0.32,925,6347,0.0494
GLW,15-64,220.0,206.51,2026-05-29,15,86.2,2026-07-17,64,78.7,0.1307,13.3,0.395,379,945,0.094
EOG,15-64,140.0,134.93,2026-05-29,15,34.0,2026-07-17,64,31.1,0.1267,3.48,0.317,272,283,0.0935
GE,15-64,310.0,294.71,2026-05-29,15,42.3,2026-07-17,64,38.8,0.1239,9.2,0.299,188,638,0.0707
TSLA,22-43,475.0,445.27,2026-06-05,22,51.8,2026-06-26,43,49.1,0.1233,7.4,0.335,20457,321,0.0338
BX,15-99,125.0,119.62,2026-05-29,15,41.7,2026-08-21,99,37.9,0.1231,5.71,0.323,411,436,0.063
COP,15-64,120.0,117.4,2026-05-29,15,35.5,2026-07-17,64,32.7,0.1179,3.33,0.403,176,3197,0.0631
TTD,15-64,22.5,20.49,2026-05-29,15,68.8,2026-07-17,64,63.5,0.114,1.01,0.278,188,2793,0.0837
NOW,15-64,90.0,87.05,2026-05-29,15,61.3,2026-07-17,64,56.6,0.1114,4.18,0.424,1444,2839,0.0659
NEM,15-64,125.0,118.96,2026-05-29,15,49.5,2026-07-17,64,45.8,0.1108,4.49,0.335,103,1897,0.0745
AEM,15-64,210.0,195.97,2026-05-29,15,48.1,2026-07-17,64,44.5,0.1097,6.8,0.26,334,346,0.0809
UBER,15-64,75.0,74.7,2026-05-29,15,38.2,2026-07-17,64,35.3,0.1093,2.33,0.503,448,1815,0.0578
PEP,15-64,155.0,149.27,2026-05-29,15,24.5,2026-07-17,64,22.7,0.1088,2.72,0.242,139,1431,0.0919
PG,15-64,145.0,142.24,2026-05-29,15,23.2,2026-07-17,64,21.5,0.1065,2.74,0.363,171,2795,0.071
UNH,22-64,420.0,401.16,2026-06-05,22,30.9,2026-07-17,64,29.0,0.1055,7.48,0.296,117,579,0.0903
AAPL,15-64,305.0,298.87,2026-05-29,15,26.0,2026-07-17,64,24.2,0.099,6.45,0.371,3427,15071,0.0543
APLD,15-64,50.0,45.48,2026-05-29,15,115.3,2026-07-17,64,107.8,0.0939,4.08,0.389,1393,1688,0.0822
AXP,15-64,320.0,309.61,2026-05-29,15,29.3,2026-07-17,64,27.4,0.0939,7.2,0.309,119,697,0.0903
SLB,15-64,60.0,55.38,2026-05-29,15,38.6,2026-07-17,64,36.1,0.0935,1.4,0.167,257,29853,0.0753
XYZ,15-64,75.0,69.78,2026-05-29,15,47.9,2026-07-17,64,44.8,0.0922,2.44,0.249,1613,205,0.0451
GOOG,15-64,410.0,399.04,2026-05-29,15,35.0,2026-07-17,64,32.9,0.0856,11.5,0.373,339,1471,0.0348
HOOD,15-64,80.0,76.75,2026-05-29,15,64.7,2026-07-17,64,61.2,0.0776,4.04,0.406,7902,6057,0.0533
XOM,15-64,155.0,151.57,2026-05-29,15,29.0,2026-07-17,64,27.4,0.0742,3.72,0.373,785,4906,0.0604
GOOGL,15-64,415.0,402.62,2026-05-29,15,35.3,2026-07-17,64,33.5,0.0721,11.8,0.358,626,1220,0.0636
AA,15-64,75.0,68.44,2026-05-29,15,59.5,2026-07-17,64,56.4,0.0717,3.03,0.247,130,720,0.0678
MSFT,22-64,420.0,405.21,2026-06-05,22,29.6,2026-07-17,64,28.5,0.0616,8.0,0.336,1667,9018,0.0375
PYPL,22-64,45.0,45.23,2026-06-05,22,34.3,2026-07-17,64,33.3,0.0444,1.11,0.552,275,3986,0.0901
META,15-64,635.0,616.63,2026-05-29,15,33.5,2026-07-17,64,32.4,0.0437,17.82,0.354,407,329,0.0379
LVS,22-64,55.0,51.32,2026-06-05,22,34.2,2026-07-17,64,33.4,0.0391,1.06,0.226,166,638,0.066
AMZN,15-64,280.0,270.13,2026-05-29,15,31.1,2026-07-17,64,30.4,0.0341,7.18,0.305,3522,7333,0.0174
AMKR,35-99,80.0,74.61,2026-06-18,35,85.9,2026-08-21,99,85.3,0.0099,5.55,0.454,790,325,0.0631
